name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Alexander Volkanovski

            ","
                Record: 21-1-0
            ","
      5' 6""
    ","
      145 lbs.
    ","
      71""
    ","
      Orthodox
    ","
      
        Sep 29, 1988
      
    ","

  UFC 221: Romero vs. Rockhold

   ",Alexander Volkanovski ,,Jeremy Kennedy ,,"
      
      Featherweight Bout
    ","
        ,
        2
      ","
        ,
        
        4:57

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      73 of 120
    ","
      8 of 25
    ","
      60%
    ","
      32%
    ","
      105 of 158
    ","
      11 of 29
    ","
      2 of 3
    ","
      0 of 3
    ","
      66%
    ","
      0%
    ","
      0
    ","
      0
    ","
      4
    ","
      0
    ","
      0
    ","
      0
    ","
      57 of 103
    ","
      7 of 24
    ","
      10 of 10
    ","
      1 of 1
    ","
      6 of 7
    ","
      0 of 0
    ","
      4 of 9
    ","
      1 of 18
    ","
      5 of 8
    ","
      0 of 0
    ","
      64 of 103
    ","
      7 of 7
    "
"
                Alexander Volkanovski

            ","
                Record: 21-1-0
            ","
      5' 6""
    ","
      145 lbs.
    ","
      71""
    ","
      Orthodox
    ","
      
        Sep 29, 1988
      
    ","

  UFC Fight Night: Dos Santos vs. Ivanov

   ",Darren Elkins ,,Alexander Volkanovski ,,"
      
      Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      2
    ","
      82 of 172
    ","
      100 of 144
    ","
      47%
    ","
      69%
    ","
      93 of 184
    ","
      103 of 147
    ","
      1 of 6
    ","
      2 of 12
    ","
      16%
    ","
      16%
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      66 of 147
    ","
      76 of 118
    ","
      15 of 24
    ","
      11 of 13
    ","
      1 of 1
    ","
      13 of 13
    ","
      67 of 148
    ","
      81 of 118
    ","
      15 of 24
    ","
      18 of 25
    ","
      0 of 0
    ","
      1 of 1
    "
"
                Alexander Volkanovski

            ","
                Record: 21-1-0
            ","
      5' 6""
    ","
      145 lbs.
    ","
      71""
    ","
      Orthodox
    ","
      
        Sep 29, 1988
      
    ","

  UFC 232: Jones vs. Gustafsson 2

   ",Chad Mendes ,,Alexander Volkanovski ,,"
      ,
      Featherweight Bout
    ","
        ,
        2
      ","
        ,
        
        4:14

      ","
    L
  ","
    W
  ","
      1
    ","
      1
    ","
      28 of 51
    ","
      54 of 124
    ","
      54%
    ","
      43%
    ","
      28 of 51
    ","
      54 of 124
    ","
      3 of 4
    ","
      0 of 0
    ","
      75%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      16 of 37
    ","
      36 of 91
    ","
      6 of 7
    ","
      10 of 19
    ","
      6 of 7
    ","
      8 of 14
    ","
      24 of 46
    ","
      46 of 113
    ","
      4 of 5
    ","
      5 of 8
    ","
      0 of 0
    ","
      3 of 3
    "
"
                Alexander Volkanovski

            ","
                Record: 21-1-0
            ","
      5' 6""
    ","
      145 lbs.
    ","
      71""
    ","
      Orthodox
    ","
      
        Sep 29, 1988
      
    ","

  UFC 237: Namajunas vs. Andrade

   ",Jose Aldo ,,Alexander Volkanovski ,,"
      
      Featherweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      29 of 79
    ","
      95 of 176
    ","
      36%
    ","
      53%
    ","
      39 of 90
    ","
      129 of 215
    ","
      0 of 1
    ","
      0 of 3
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      19 of 63
    ","
      28 of 93
    ","
      7 of 12
    ","
      17 of 24
    ","
      3 of 4
    ","
      50 of 59
    ","
      26 of 76
    ","
      67 of 147
    ","
      3 of 3
    ","
      28 of 29
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Alexander Volkanovski

            ","
                Record: 21-1-0
            ","
      5' 6""
    ","
      145 lbs.
    ","
      71""
    ","
      Orthodox
    ","
      
        Sep 29, 1988
      
    ","

  UFC 245: Usman vs. Covington

   ",Max Holloway ,,Alexander Volkanovski ,,"
      ,
      UFC Featherweight Title Bout
    ","
        ,
        5
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      134 of 303
    ","
      157 of 303
    ","
      44%
    ","
      51%
    ","
      135 of 304
    ","
      157 of 303
    ","
      0 of 0
    ","
      0 of 4
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      85 of 233
    ","
      67 of 178
    ","
      32 of 44
    ","
      15 of 32
    ","
      17 of 26
    ","
      75 of 93
    ","
      132 of 301
    ","
      156 of 302
    ","
      2 of 2
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC 108: Evans vs Silva

   ",Martin Kampmann ,,Jacob Volkmann ,,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:03

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      14 of 34
    ","
      13 of 36
    ","
      41%
    ","
      36%
    ","
      24 of 44
    ","
      14 of 38
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 34
    ","
      12 of 35
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      7 of 20
    ","
      11 of 34
    ","
      0 of 1
    ","
      2 of 2
    ","
      7 of 13
    ","
      0 of 0
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC Fight Night: Florian vs Gomi

   ",Jacob Volkmann ,,,Ronys Torres,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      24 of 57
    ","
      20 of 50
    ","
      42%
    ","
      40%
    ","
      79 of 125
    ","
      32 of 63
    ","
      5 of 6
    ","
      3 of 4
    ","
      83%
    ","
      75%
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      1
    ","
      19 of 52
    ","
      13 of 42
    ","
      5 of 5
    ","
      2 of 2
    ","
      0 of 0
    ","
      5 of 6
    ","
      3 of 24
    ","
      8 of 27
    ","
      1 of 1
    ","
      7 of 16
    ","
      20 of 32
    ","
      5 of 7
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC LIVE: Jones vs Matyushenko

   ",,Paul Kelly,Jacob Volkmann ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      24 of 61
    ","
      32 of 79
    ","
      39%
    ","
      40%
    ","
      45 of 85
    ","
      61 of 111
    ","
      0 of 0
    ","
      6 of 7
    ","
      0%
    ","
      85%
    ","
      2
    ","
      2
    ","
      3
    ","
      11
    ","
      2
    ","
      1
    ","
      19 of 54
    ","
      25 of 70
    ","
      2 of 3
    ","
      2 of 2
    ","
      3 of 4
    ","
      5 of 7
    ","
      6 of 32
    ","
      7 of 29
    ","
      3 of 5
    ","
      1 of 1
    ","
      15 of 24
    ","
      24 of 49
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC 125: Resolution

   ",Jacob Volkmann ,,,Antonio McKee,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      10 of 47
    ","
      25 of 55
    ","
      21%
    ","
      45%
    ","
      21 of 58
    ","
      41 of 75
    ","
      1 of 2
    ","
      1 of 4
    ","
      50%
    ","
      25%
    ","
      2
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      1
    ","
      3 of 37
    ","
      14 of 43
    ","
      2 of 2
    ","
      8 of 9
    ","
      5 of 8
    ","
      3 of 3
    ","
      7 of 44
    ","
      17 of 44
    ","
      0 of 0
    ","
      4 of 5
    ","
      3 of 3
    ","
      4 of 6
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC LIVE 5: Hardy vs Lytle

   ",Jacob Volkmann ,,Danny Castillo ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      6 of 16
    ","
      22 of 30
    ","
      37%
    ","
      73%
    ","
      39 of 51
    ","
      47 of 57
    ","
      3 of 5
    ","
      1 of 4
    ","
      60%
    ","
      25%
    ","
      6
    ","
      0
    ","
      7
    ","
      0
    ","
      0
    ","
      1
    ","
      4 of 13
    ","
      2 of 10
    ","
      1 of 2
    ","
      9 of 9
    ","
      1 of 1
    ","
      11 of 11
    ","
      3 of 13
    ","
      7 of 15
    ","
      0 of 0
    ","
      3 of 3
    ","
      3 of 3
    ","
      12 of 12
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC 141: Lesnar vs Overeem

   ",Jacob Volkmann ,,Efrain Escudero ,,"
      
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      17 of 35
    ","
      7 of 18
    ","
      48%
    ","
      38%
    ","
      85 of 108
    ","
      53 of 64
    ","
      3 of 9
    ","
      0 of 0
    ","
      33%
    ","
      0%
    ","
      2
    ","
      4
    ","
      5
    ","
      0
    ","
      0
    ","
      0
    ","
      13 of 26
    ","
      5 of 14
    ","
      3 of 3
    ","
      1 of 2
    ","
      1 of 6
    ","
      1 of 2
    ","
      3 of 17
    ","
      2 of 12
    ","
      1 of 1
    ","
      4 of 5
    ","
      13 of 17
    ","
      1 of 1
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC 146: Dos Santos vs Mir

   ",Jacob Volkmann ,,Paul Sass ,,"
      ,
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:54

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      2 of 5
    ","
      1 of 4
    ","
      40%
    ","
      25%
    ","
      3 of 6
    ","
      2 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      2
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 3
    ","
      1 of 4
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 1
    ","
      0 of 0
    ","
      2 of 5
    ","
      1 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC on FX: Browne vs Bigfoot

   ",Jacob Volkmann ,,,Shane Roller,"
      
      Lightweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:38

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      8 of 25
    ","
      0 of 7
    ","
      32%
    ","
      0%
    ","
      14 of 32
    ","
      0 of 7
    ","
      1 of 4
    ","
      0 of 0
    ","
      25%
    ","
      0%
    ","
      2
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 18
    ","
      0 of 7
    ","
      2 of 4
    ","
      0 of 0
    ","
      0 of 3
    ","
      0 of 0
    ","
      3 of 16
    ","
      0 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      5 of 9
    ","
      0 of 0
    "
"
                Jacob Volkmann

            ","
                Record: 15-4-0
            ","
      5' 9""
    ","
      155 lbs.
    ","
      71""
    ","
      Southpaw
    ","
      
        Sep 05, 1980
      
    ","

  UFC 156: Aldo vs Edgar

   ",Jacob Volkmann ,,Bobby Green ,,"
      ,
      Lightweight Bout
    ","
        ,
        3
      ","
        ,
        
        4:25

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      6 of 51
    ","
      54 of 90
    ","
      11%
    ","
      60%
    ","
      11 of 60
    ","
      69 of 106
    ","
      4 of 12
    ","
      1 of 1
    ","
      33%
    ","
      100%
    ","
      0
    ","
      1
    ","
      5
    ","
      4
    ","
      0
    ","
      2
    ","
      4 of 37
    ","
      34 of 64
    ","
      1 of 6
    ","
      14 of 19
    ","
      1 of 8
    ","
      6 of 7
    ","
      3 of 44
    ","
      17 of 44
    ","
      0 of 0
    ","
      9 of 9
    ","
      3 of 7
    ","
      28 of 37
    "
"
                Alexander Volkov

            ","
                Record: 31-7-0
            ","
      6' 7""
    ","
      250 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Oct 24, 1988
      
    ","

  UFC Fight Night: Johnson vs. Reis

   ",Alexander Volkov ,,Roy Nelson ,,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      122 of 182
    ","
      32 of 67
    ","
      67%
    ","
      47%
    ","
      125 of 185
    ","
      40 of 75
    ","
      0 of 0
    ","
      1 of 8
    ","
      0%
    ","
      12%
    ","
      0
    ","
      0
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      77 of 132
    ","
      18 of 52
    ","
      29 of 34
    ","
      9 of 9
    ","
      16 of 16
    ","
      5 of 6
    ","
      105 of 157
    ","
      25 of 58
    ","
      17 of 25
    ","
      6 of 7
    ","
      0 of 0
    ","
      1 of 2
    "
"
                Alexander Volkov

            ","
                Record: 31-7-0
            ","
      6' 7""
    ","
      250 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Oct 24, 1988
      
    ","

  UFC Fight Night: Volkov vs. Struve

   ",Alexander Volkov ,,Stefan Struve ,,"
      ,
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        3:30

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      135 of 253
    ","
      41 of 162
    ","
      53%
    ","
      25%
    ","
      144 of 264
    ","
      41 of 162
    ","
      2 of 2
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      84 of 178
    ","
      26 of 125
    ","
      18 of 27
    ","
      8 of 27
    ","
      33 of 48
    ","
      7 of 10
    ","
      114 of 214
    ","
      41 of 162
    ","
      3 of 11
    ","
      0 of 0
    ","
      18 of 28
    ","
      0 of 0
    "
"
                Alexander Volkov

            ","
                Record: 31-7-0
            ","
      6' 7""
    ","
      250 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Oct 24, 1988
      
    ","

  UFC Fight Night: Werdum vs. Volkov

   ",Fabricio Werdum ,,Alexander Volkov ,,"
      ,
      Heavyweight Bout
    ","
        ,
        4
      ","
        ,
        
        1:38

      ","
    L
  ","
    W
  ","
      0
    ","
      1
    ","
      48 of 88
    ","
      48 of 90
    ","
      54%
    ","
      53%
    ","
      83 of 130
    ","
      96 of 144
    ","
      3 of 9
    ","
      2 of 2
    ","
      33%
    ","
      100%
    ","
      0
    ","
      0
    ","
      3
    ","
      0
    ","
      2
    ","
      0
    ","
      30 of 66
    ","
      37 of 75
    ","
      12 of 14
    ","
      8 of 11
    ","
      6 of 8
    ","
      3 of 4
    ","
      22 of 41
    ","
      32 of 71
    ","
      1 of 2
    ","
      3 of 5
    ","
      25 of 45
    ","
      13 of 14
    "
"
                Alexander Volkov

            ","
                Record: 31-7-0
            ","
      6' 7""
    ","
      250 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Oct 24, 1988
      
    ","

  UFC 229: Khabib vs. McGregor

   ",Derrick Lewis ,,Alexander Volkov ,,"
      ,
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        4:49

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      39 of 70
    ","
      121 of 171
    ","
      55%
    ","
      70%
    ","
      40 of 71
    ","
      133 of 183
    ","
      0 of 2
    ","
      1 of 2
    ","
      0%
    ","
      50%
    ","
      0
    ","
      0
    ","
      0
    ","
      3
    ","
      1
    ","
      0
    ","
      31 of 61
    ","
      78 of 122
    ","
      6 of 7
    ","
      29 of 33
    ","
      2 of 2
    ","
      14 of 16
    ","
      21 of 47
    ","
      88 of 129
    ","
      1 of 3
    ","
      20 of 29
    ","
      17 of 20
    ","
      13 of 13
    "
"
                Alexander Volkov

            ","
                Record: 31-7-0
            ","
      6' 7""
    ","
      250 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Oct 24, 1988
      
    ","

  UFC Fight Night: Zabit vs. Kattar

   ",Alexander Volkov ,,Greg Hardy ,,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      86 of 152
    ","
      46 of 135
    ","
      56%
    ","
      34%
    ","
      86 of 152
    ","
      51 of 140
    ","
      0 of 0
    ","
      0 of 2
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      44 of 101
    ","
      23 of 92
    ","
      26 of 32
    ","
      13 of 29
    ","
      16 of 19
    ","
      10 of 14
    ","
      86 of 152
    ","
      46 of 135
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jason Von Flue

            ","
                Record: 14-12-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 01, 1975
      
    ","

  UFC Fight Night 4

   ",,Luke Cummo,,Jason Von Flue,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      43 of 108
    ","
      17 of 57
    ","
      39%
    ","
      29%
    ","
      97 of 165
    ","
      29 of 69
    ","
      3 of 4
    ","
      2 of 9
    ","
      75%
    ","
      22%
    ","
      3
    ","
      1
    ","
      2
    ","
      2
    ","
      0
    ","
      0
    ","
      18 of 73
    ","
      9 of 46
    ","
      13 of 23
    ","
      5 of 8
    ","
      12 of 12
    ","
      3 of 3
    ","
      22 of 69
    ","
      10 of 43
    ","
      13 of 25
    ","
      7 of 12
    ","
      8 of 14
    ","
      0 of 2
    "
"
                Jason Von Flue

            ","
                Record: 14-12-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 01, 1975
      
    ","

  UFC Fight Night 6

   ",Joe Riggs ,,,Jason Von Flue,"
      ,
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:01

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      1 of 4
    ","
      0 of 2
    ","
      25%
    ","
      0%
    ","
      1 of 4
    ","
      9 of 11
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      1
    ","
      1 of 4
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 4
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jason Von Flue

            ","
                Record: 14-12-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 01, 1975
      
    ","

  Strikeforce - Tank vs. Buentello

   ",,Jason Von Flue,,Eric Wray,"
      
      Welterweight Bout
    ","
        ,
        2
      ","
        ,
        
        2:22

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      23 of 32
    ","
      13 of 27
    ","
      71%
    ","
      48%
    ","
      58 of 89
    ","
      22 of 39
    ","
      0 of 0
    ","
      2 of 3
    ","
      0%
    ","
      66%
    ","
      2
    ","
      1
    ","
      4
    ","
      1
    ","
      1
    ","
      0
    ","
      19 of 28
    ","
      9 of 22
    ","
      3 of 3
    ","
      3 of 4
    ","
      1 of 1
    ","
      1 of 1
    ","
      18 of 23
    ","
      10 of 24
    ","
      2 of 3
    ","
      2 of 2
    ","
      3 of 6
    ","
      1 of 1
    "
"
                Jason Von Flue

            ","
                Record: 14-12-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 01, 1975
      
    ","

  Strikeforce - Triple Threat

   ",Cung Le ,,,Jason Von Flue,"
      
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        0:43

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      2 of 4
    ","
      0 of 1
    ","
      50%
    ","
      0%
    ","
      2 of 4
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 3
    ","
      0 of 1
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 4
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Jason Von Flue

            ","
                Record: 14-12-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 01, 1975
      
    ","

  Strikeforce - Shamrock vs. Baroni

   ",,Luke Stewart,,Jason Von Flue,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        2:17

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      80 of 131
    ","
      24 of 95
    ","
      61%
    ","
      25%
    ","
      117 of 181
    ","
      57 of 138
    ","
      5 of 16
    ","
      0 of 1
    ","
      31%
    ","
      0%
    ","
      0
    ","
      0
    ","
      5
    ","
      0
    ","
      0
    ","
      1
    ","
      54 of 101
    ","
      18 of 87
    ","
      14 of 15
    ","
      5 of 6
    ","
      12 of 15
    ","
      1 of 2
    ","
      46 of 79
    ","
      21 of 88
    ","
      9 of 13
    ","
      3 of 5
    ","
      25 of 39
    ","
      0 of 2
    "
"
                Marvin Vettori

            ","
                Record: 14-4-1
            ","
      6' 0""
    ","
      185 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Sep 20, 1993
      
    ","

  UFC 202: Diaz vs. McGregor 2

   ",Alberto Uda ,,Marvin Vettori ,,"
      
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:30

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      4 of 9
    ","
      10 of 14
    ","
      44%
    ","
      71%
    ","
      21 of 27
    ","
      50 of 68
    ","
      1 of 2
    ","
      1 of 1
    ","
      50%
    ","
      100%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 8
    ","
      10 of 14
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 5
    ","
      2 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      3 of 4
    ","
      8 of 10
    "
"
                Marvin Vettori

            ","
                Record: 14-4-1
            ","
      6' 0""
    ","
      185 lbs.
    ","
      74""
    ","
      Southpaw
    ","
      
        Sep 20, 1993
      
    ","

  UFC 207: Nunes vs. Rousey

   ",Antonio Carlos Junior ,,Marvin Vettori ,,"
      
      Middleweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      28 of 75
    ","
      29 of 70
    ","
      37%
    ","
      41%
    ","
      44 of 94
    ","
      99 of 144
    ","
      4 of 13
    ","
      1 of 1
    ","
      30%
    ","
      100%
    ","
      0
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      12 of 54
    ","
      21 of 61
    ","
      4 of 8
    ","
      4 of 5
    ","
      12 of 13
    ","
      4 of 4
    ","
      18 of 58
    ","
      11 of 46
    ","
      6 of 9
    ","
      2 of 3
    ","
      4 of 8
    ","
      16 of 21
    "
"
                Bryan Vetell

            ","
                Record: 4-3-0
            ","
      6' 3""
    ","
      265 lbs.
    ","
      --
    ","
      Southpaw
    ","
      
        Jul 26, 1977
      
    ","

  IFL - Gracie vs. Miletich

   ",Ben Rothwell ,,,Bryan Vetell,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:17

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      7 of 12
    ","
      9 of 15
    ","
      58%
    ","
      60%
    ","
      20 of 25
    ","
      9 of 15
    ","
      0 of 0
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      4 of 9
    ","
      2 of 6
    ","
      3 of 3
    ","
      3 of 3
    ","
      0 of 0
    ","
      4 of 6
    ","
      1 of 5
    ","
      2 of 5
    ","
      6 of 7
    ","
      7 of 10
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Renato Verissimo

            ","
                Record: 7-5-0 (1 NC)
            ","
      6' 1""
    ","
      170 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 03, 1973
      
    ","

  UFC 46: Supernatural

   ",,Renato Verissimo,,Carlos Newton,"
      
      Welterweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      22 of 36
    ","
      4 of 9
    ","
      61%
    ","
      44%
    ","
      124 of 151
    ","
      19 of 25
    ","
      3 of 4
    ","
      2 of 5
    ","
      75%
    ","
      40%
    ","
      1
    ","
      0
    ","
      9
    ","
      1
    ","
      1
    ","
      0
    ","
      20 of 34
    ","
      1 of 5
    ","
      2 of 2
    ","
      3 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      6 of 12
    ","
      1 of 5
    ","
      2 of 2
    ","
      3 of 4
    ","
      14 of 22
    ","
      0 of 0
    "
